"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12623","should login successfully with valid admin credentials @smoke","smoke","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","0","employee list page has no critical a11y violations @a11y","webkit","2026-05-27","skipped","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","15939","GET /pim/employees/:id — retrieve created employee @api @smoke","webkit","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","12835","Admin user has access to User Management @rbac @regression","webkit","2026-05-27","passed","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","6653","should redirect to login when accessing protected page unauthenticated @smoke","firefox","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","12276","employee list page has no critical a11y violations @a11y","chromium","2026-05-27","passed","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","7552","should show validation for empty password @regression","firefox","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","9995","2. Verify employee appears in employee list @employee @smoke","chromium","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","22330","employee list page has no critical a11y violations @a11y","firefox","2026-05-27","passed","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","4637","Unauthenticated user is redirected to login from admin UI @rbac @regression","webkit","2026-05-27","passed","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","1","add employee form has no critical a11y violations @a11y","webkit","2026-05-27","skipped","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","9112","GET /pim/employees/:id — retrieve created employee @api @smoke","smoke","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","0","Unauthenticated request to Admin API returns 401 @rbac @regression @security","chromium","2026-05-27","skipped","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","1665","API returns 404 for non-existent employee @api @regression","api","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","12041","4. Verify updates persisted correctly @employee @regression","firefox","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","12159","Admin user sees Admin module in navigation @rbac @regression","webkit","2026-05-27","passed","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","41680","1. Create employee with login credentials @employee @smoke","webkit","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","2710","GET /pim/employees — search by name returns correct results @api @regression","api","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","2178","API returns 401 when session cookie is absent @api @security","firefox","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","593","API returns 401 when session cookie is absent @api @security","chromium","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","1","should show validation for empty username @regression","webkit","2026-05-27","skipped","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","8679","GET /pim/employees — search by name returns correct results @api @regression","webkit","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","32573","5. Delete employee @employee @smoke","webkit","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","10400","5. Delete employee @employee @smoke","firefox","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","11470","should redirect to login when accessing protected page unauthenticated @smoke","webkit","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","7790","add employee form has no critical a11y violations @a11y","chromium","2026-05-27","passed","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","1","should login successfully with valid admin credentials @smoke","webkit","2026-05-27","skipped","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","21089","dashboard has no critical a11y violations @a11y","firefox","2026-05-27","passed","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","19133","ESS user cannot access Admin features @rbac @regression","firefox","2026-05-27","passed","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","6726","Unauthenticated user is redirected to login from admin UI @rbac @regression","firefox","2026-05-27","passed","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","10773","dashboard has no critical a11y violations @a11y","chromium","2026-05-27","passed","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","22494","login page has no critical a11y violations @a11y","webkit","2026-05-27","passed","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","11409","should show error with invalid password @smoke","chromium","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","9489","Admin user has access to User Management @rbac @regression","firefox","2026-05-27","passed","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","3039","POST /pim/employees — create employee returns 200 with empNumber @api @smoke","chromium","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","2025","DELETE /pim/employees — delete employee removes from system @api @smoke","api","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","7101","DELETE /pim/employees — delete employee removes from system @api @smoke","firefox","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","8479","should show validation for empty username @regression","firefox","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","0","Create and immediately verify employee via API @employee @api @regression","chromium","2026-05-27","skipped","2026-05-27","API Employee Operations","e2e/employee/employee-lifecycle.spec.ts","",""
